date,category,published_date,site_name,url,title,summary,region,score_ag,keywords,reward,rl_score
2026-01-16,BD,2026-01-16 16:28:00,Naver News,http://www.lawissue.co.kr/view.php?ud=202601161627281151204ead0791_12,"MBK 파트너스, 홈플러스 추가 자금 지원 의사 밝혀",홈플러스의 주요 주주인 MBK 파트너스가 유동성 위기에 직면한 홈플러스에 추가 긴급 운영 자금을 지원하겠다는 입장을 16일 밝혔다.MBK 파트너스는 성명을 통해 홈플러스의 급여 지급 지연과 점포 영업 중단 등 현 상황을 무겁게 인식하고 있다고 전했다. 회사 측은 홈플러스 정상화를 위해.,local,6,M&A,,
2026-01-16,Client,2025-12-03 06:01:00,Naver News,https://www.sedaily.com/NewsView/2H1L4CKYPS,'80조원' 유전자 치료제 시장… 왜 알지노믹스에 러브콜 쏟아질까,증권 > 국내증시 뉴스: “알지노믹스의 리보핵산(RNA) 편집·교정 플랫폼 기술은 잘못된 문장을 통째로 갈아끼우는 방식으로 비유할 수 있습니다....,local,6,셀진,,
2026-01-16,BD,2026-01-16 16:16:00,Naver News,https://www.ibabynews.com/news/articleView.html?idxno=146920,"분당차병원 정형외과 이성현 교수, 대학족부족관절학회 학술대회 ‘특별논문상’ 수상",차 의과학대학교 분당차병원(원장 윤상욱) 정형외과 이성현 교수가 ‘발목 골절에서 관절경의 역할 『Role of Arthroscopy in Ankle Fracture Surgeries』’(Journal of Korean Foot & Ankle Society) 논문으로 2025 대한족부족관절학회(KFAS) 학술대회에서 ‘특별논문상’을 수상했다고 16일 밝혔다.정형외과 이성현 교수팀은 발목 골절 수술에서 관절경의 역할이 점차 중요해지고 있음을 강조했다. 기존 발목 골절 수술은 개방적 정복과 내부 고정 방식으로 골.,local,4,합병,,
2026-01-16,BD,2026-01-16 15:19:00,Naver News,https://www.news1.kr/society/general-society/6041688,베트남 간 경복대·국경없는수의사회…'K-반려동물 복지' 전파해,"유기견 1000여 마리 의료 지원·행동 교정 실시 국제 비영리 민간단체 국경없는수의사회(VWB, 대표 김재영) 베트남 지부(지부장 방인준)가 지난 14일부터 베트남 현지에서 경복대학교 반려동물보건학과와 함께 한국 ….",local,4,인수,,
2026-01-16,BD,2026-01-16 16:02:00,Naver News,http://news.bizwatch.co.kr/article/healthcare/2026/01/16/0035,"차바이오, 한화서 1000억 유치…""금융·IT·헬스케어 연합""","차바이오그룹이 한화생명과 한화손해보험으로부터 총 1000억원 규모의 전략적 투자를 유치했다. 차바이오그룹은 지난해 카카오헬스케어 인수로 확보한 '플랫폼', 전날(15일) LG CNS 투자로 ...",local,4,인수,,
2026-01-16,BD,2026-01-16 14:00:00,Naver News,http://www.legaltimes.co.kr/news/articleView.html?idxno=91523,[리걸타임즈 선정/2025 올해의 변호사] 조세 | 최용환 변호사,"리걸타임즈가 Corporate and M&A, 공정거래, 자본시장, 인사노무, 조세, 금융분쟁, 국제중재, Litigation, 기업형사, 가사상속, IP, 제약 · 의료, 건설부동산, 보험, 구조조정 등 기업법무의 주요 분야에서 2025년을 빛낸 '2025 올해의 변호사(Lawyers of the Year)' 21명을 선정, 그들의 활약상과 성공 노하우를 조명합니다. 무역전쟁 등 여러 변수가 이어지며 불확실성이 증폭되었음에도 불구하고 의미 있는 딜을 성사시키고 분쟁을 해결해 기업의 성장 발판을 돈독히 한 기업 발전의.",local,4,M&A,,
2026-01-16,BD,2026-01-16 13:52:00,Naver News,http://www.hansbiz.co.kr/news/articleView.html?idxno=809259,"알테오젠, 대규모 추가 기술이전 가능성↑",알테오젠이 이르면 이달 내 대규모 기술이전 가능성을 타진했다.16일 제약바이오 업계에 따르면 전태연 알테오젠 신임 대표는 미국 샌프란시스코에서 진행되고 있는 세계 최대 제약바이오 투자 행사인 ‘JP모건 헬스케어 컨퍼런스(JHMHC)’의 아시아태평양(APEC) 트랙 발표를 마치고 “피하주사 제형 전환 기술 ‘ALT-B4’에 대한 추가 기술이전이 매우 임박했다”고 밝혔다.전 대표는 이날 “가능한 다음 주까지 딜을 마무리하고 발표하려고 한다”고 말했다.알테오젠도 IV(정맥주사)를 SC(피하주사) 제형으로 전환.,local,4,라이선스,,
2026-01-16,BD,2026-01-16 15:36:00,Naver News,https://www.pinpointnews.co.kr/news/articleView.html?idxno=418235,"“미국 임상에 답 있다”...한올바이오파마, 기술이전 기대 재점화",중견 제약사 한올바이오파마 주가가 크게 올랐다.16일 한국거래소에 따르면 이날 10.22% 올라 5만 2300원에 거래를 마감했다.주가는 하락추세에서 벗어나려 하고 있다.한올바이오파마는 전통 제약 사업과 바이오 신약 개발을 병행하는 구조를 갖추고 있다.내분비계·순환기계 등을 중심으로 160여 개의 전문의약품을 생산·판매하며 안정적인 매출 기반을 유지해 주가에 긍정적 영향을 미치고 있는 것으로 보인다.여기에 미국 법인 HPI를 통해 신약 해외 임상과 글로벌 라이선스 업무를 전담하며 연구개발의 무게중심을 해외 시장으로 옮기고 있다.시장.,local,4,라이선스,,
2026-01-16,BD,2026-01-16 16:02:00,Naver News,https://www.jbnews.com/news/articleView.html?idxno=1497175,"알테오젠, 글로벌 빅파마와 ‘조 단위’ 기술이전 임박",［중부매일 박상철 기자］ 국내 바이오기업 알테오젠이 세계 최대 제약·바이오 행사인 JP모건 헬스케어 콘퍼런스에서 대규모 기술이전 계약 임박 소식을 전하며 글로벌 시장의 이목을 집중시키고 있다.업계에서는 이번 계약이 조(兆) 단위에 이를 것이라는 관측과 함께 기술수출 확대 가능성에 주목하고 있다.알테오젠의 핵심 자산은 항체 기반 치료제 등 기존 정맥주사(IV) 제형을 피하주사(SC)로 바꿔주는 플랫폼 기술 ‘ALT-B4’다.이 기술은 환자 편의성을 획기적으로 개선하고 의료 시스템 비용을 줄일 수 있는 것은 물론 글로벌 제약사들이 블록.,local,4,라이선스,,
2026-01-16,Reimbursement,2026-01-16 15:38:00,Naver News,https://www.100ssd.co.kr/news/articleView.html?idxno=205093,의약품 부작용으로 인한 진료비    상한액 3000만→5000만원 추진 - 백세시대,"식약처, 입원 전·후 외래진료비 보상도 검토[백세시대 = 이한원 기자] 의약품 부작용 치료 관련 진료비 보상이 입원 전·후 외래진료로 확대되고 진료비 상한액을 3.",local,4,급여,,
