date,category,published_date,site_name,url,title,summary,content,region,score_ag,keywords,reward_x,rl_score,lgbm_score,reward_y,score_ag_norm,lgbm_score_norm,final_score,strategic_score,lgbm_component,is_top20
2026-04-09,Distribution,2026-04-09 12:30:00,Naver News,https://www.kpanews.co.kr/news/articleView.html?idxno=532647,마운자로 공급 대란 '현재진행형'…5월 수요 폭증에 비상 - 약사공론,비만치료제 '마운자로(성분명 티르제파타이드)'의 수급 불균형이 좀처럼 해소되지 않고 있다. 일부 용량의 공급이 재개됐지만 수요가 공급을 앞지르면서 환자들의 불편이.,비만치료제 '마운자로(성분명 티르제파타이드)'의 수급 불균형이 좀처럼 해소되지 않고 있다. 일부 용량의 공급이 재개됐지만 수요가 공급을 앞지르면서 환자들의 불편이,local,10,의약품유통,,,0.8153264849030468,,1.0,0.8153264849030468,12.024371236592795,17.0,8.707285394321326,True
2026-04-09,Distribution,2026-04-10 06:02:00,Naver News,https://www.yakup.com/news/index.html?mode=view&cat=12&nid=325832,"[약업신문]탑헬스케어, 식물성 멜라토닌 멜라졸리어  누적판매 3만개 돌파",약국몰 전문 유통 기업 탑헬스케어(주)(대표 조영민)의 수면 건강 관리 제품 ‘멜라졸리어’가 누적 판매량 3만 개를 돌파했다.‘멜라졸리어’는 현대인의 불규칙한 생활 패턴과 스트레스로 인한 수면 고민 개선에 도...,약국몰 전문 유통 기업 탑헬스케어(주)(대표 조영민)의 수면 건강 관리 제품 ‘멜라졸리어’가 누적 판매량 3만 개를 돌파했다.‘멜라졸리어’는 현대인의 불규칙한 생활 패턴과 스트레스로 인한 수면 고민 개선에 도...,local,10,바로팜,,,0.7607790154782037,,1.0,0.7607790154782037,11.795271865008456,17.0,8.325453108347425,True
2026-04-09,Distribution,2026-04-05 14:46:00,Naver News,http://www.bizwnews.com/news/articleView.html?idxno=132347,"바로팜, 바임과 ‘쥬베룩 스킨케어’ 신제품 유통 협력",바로팜(대표 김슬기)은 메디컬 에스테틱 전문 기업 바임과 약국 전용 신제품 ‘쥬베룩 스킨케어’ 유통 협력·판매를 위한 업무협약(MOU)을 체결했다고 5일 밝혔다. 바로팜에 따르면 이번 협력을 통해 병·의원 스킨부스터 시장에서 주사 누적 판매량 200만 바이알을 기록한 바임의 대표 브랜드 쥬베룩이 처음으로 약국 채널에 진입한다.바임은 오는 15일 약국 전용 신제품 ‘쥬베룩 PDLLA 어드벤스드 프로텍팅 크림’을 출시한다.해당 제품은 핵심 성분인 PDLLA(폴리디엘락틱애씨드)를 기반으로 개발됐다고 한다.바로팜 관계자는 “병.,[비즈월드] 바로팜(대표 김슬기)은 메디컬 에스테틱 전문 기업 바임과 약국 전용 신제품 ‘쥬베룩 스킨케어’ 유통 협력·판매를 위한 업무협약(MOU)을 체결했다고 5일 밝혔다. 바로팜에 따르면 이번 협력을 통해 병·의원 스킨부스터 시장에서 주사 누적 판매량 200만 바이알을 기록한 바임의 대표 브랜드 쥬베룩이 처음으로 약국 채널에 진입한다.바임은 오는 15일 약국 전용 신제품 ‘쥬베룩 PDLLA 어드벤스드 프로텍팅 크림’을 출시한다.해당 제품은 핵심 성분인 PDLLA(폴리디엘락틱애씨드)를 기반으로 개발됐다고 한다.바로팜 관계자는 “병,local,10,바로팜,,,0.7742353703890275,,1.0,0.7742353703890275,11.051788555633914,15.0,8.41964759272319,True
2026-04-09,Client,2026-04-10 06:10:00,Naver News,https://www.hitnews.co.kr/news/articleView.html?idxno=75306,美에서 맞붙은 파운데요·위고비 필…국내 출시는 아직 미정,"일라이 릴리의 경구용 비만약 '파운데요(성분 오르포글리프론)'가 미국 식품의약국(FDA) 허가를 획득하면서 '위고비 필(성분 세마글루타이드)'과 경쟁을 본격화했다. 다만 두 약물 모두 국내 출시 시점은 정해지지 않은 것으로 확인됐다.9일 관련업계에 따르면 일라이 릴리의 파운데요는 지난 1일(현지시간) 미국 식품의약국(FDA) 허가를 획득했다. 릴리는 허가 발표 당시 파운데요를 자사 유통 플랫폼 '릴리다이렉트'를 통해 즉시 처방 접수하고, 6일부터 배송을 시작한다고 밝혔다.","일라이 릴리의 경구용 비만약 '파운데요(성분 오르포글리프론)'가 미국 식품의약국(FDA) 허가를 획득하면서 '위고비 필(성분 세마글루타이드)'과 경쟁을 본격화했다. 다만 두 약물 모두 국내 출시 시점은 정해지지 않은 것으로 확인됐다.9일 관련업계에 따르면 일라이 릴리의 파운데요는 지난 1일(현지시간) 미국 식품의약국(FDA) 허가를 획득했다. 릴리는 허가 발표 당시 파운데요를 자사 유통 플랫폼 '릴리다이렉트'를 통해 즉시 처방 접수하고, 6일부터 배송을 시작한다고 밝혔다. 이어 미국 내 소매약국과 원격의료 플랫폼으로도 순차 확대할",local,10,허가,,,0.8186023828308499,,1.0,0.8186023828308499,10.83813000788957,14.0,8.730216679815948,False
2026-04-09,Distribution,2026-04-07 11:56:00,Naver News,https://www.medipana.com/news/articleView.html?idxno=409379,"지오영, 3PL/4PL 실적 본격화 힘입어 5년 연속 성장세 - 메디파나뉴스",국내 매출 1위 의약품 유통기업 지오영이 3PL/4PL 사업 실적 본격화에 힘입어 5년 연속 성장세를 나타냈다.7일 금융감독원 전.,[메디파나뉴스 = 조해진 기자] 국내 매출 1위 의약품 유통기업 지오영이 3PL/4PL 사업 실적 본격화에 힘입어 5년 연속 성장세를 나타냈다.7일 금융감독원 전,local,10,지오영,,,0.7189305012209143,,1.0,0.7189305012209143,10.81950810512784,15.0,8.0325135085464,False
2026-04-09,Client,2026-04-08 17:27:00,Naver News,https://www.dt.co.kr/article/12056416?ref=naver,한국은 비만약 5위 시장…‘마운자로’ 들여온 한국릴리 매출 3배 급증,비만치료제 ‘위고비’와 ‘마운자로’ 열풍으로 이 약을 들여온 노보노디스크와 일라이릴리의 한국 지사 실적이 크게 올랐다. 이들 비만약은 ‘한 달에 약 25만원(저용량 기준)만 들이면 단기간에 살을 뺄 수 있다’는 입소문을 타고 국내에 출시되자마자 전국적인 재고 부족 현상.,비만치료제 ‘위고비’와 ‘마운자로’ 열풍으로 이 약을 들여온 노보노디스크와 일라이릴리의 한국 지사 실적이 크게 올랐다. 이들 비만약은 ‘한 달에 약 25만원(저용량 기준)만 들이면 단기간에 살을 뺄 수 있다’는 입소문을 타고 국내에 출시되자마자 전국적인 재고 부족 현상,local,10,노보노디스크,,,0.7794374636328275,,1.0,0.7794374636328275,10.673637347257875,14.0,8.456062245429791,False
2026-04-09,Client,2026-04-09 08:33:00,Naver News,https://news.bizwatch.co.kr/article/healthcare/2026/04/09/0001,"JW중외제약, 中서 비만신약 도입…위고비 대체 경쟁 '가세'","JW중외제약이 투약 편의성을 대폭 개선한 비만 치료제 신약을 도입하며 급성장하는 GLP-1 비만치료제 시장에 본격 뛰어들었다. 한미약품, HK이노엔 등과 함께 국내 '위고비' 대항마 자리를 둔 치...","JW중외제약이 투약 편의성을 대폭 개선한 비만 치료제 신약을 도입하며 급성장하는 GLP-1 비만치료제 시장에 본격 뛰어들었다. 한미약품, HK이노엔 등과 함께 국내 &#39;위고비&#39; 대항마 자리를 둔 치...",local,10,노보노디스크,,,0.7771980439597904,,1.0,0.7771980439597904,10.66423178463112,14.0,8.440386307718533,False
2026-04-09,Client,2026-04-09 18:12:00,Naver News,https://www.sentv.co.kr/article/view/sentv202604090080,"JW중외, 2주 간격 GLP-1 비만약 도입… 생활의학 '승부수'","국내 제약사들이 항암제 개발에만 집중해 열을 올리는 사이, JW중외제약은 비만, 탈모, 통풍 등 생활 밀착형 질환을 공략하고 있습니다.","국내 제약사들이 항암제 개발에만 집중해 열을 올리는 사이, JW중외제약은 비만, 탈모, 통풍 등 생활 밀착형 질환을 공략하고 있습니다. 최근에는 환자",local,10,위고비,,,0.7766441552683571,,1.0,0.7766441552683571,10.6619054521271,14.0,8.436509086878498,False
2026-04-09,Client,2026-04-08 12:06:00,Naver News,https://www.dailypharm.com/user/news/337276?REFERER=NP,[데일리팜]'스핀라자' 고용량 국내 허가 임박…SMA 치료전략 변화 촉각,"척수성 근위축증(SMA) 치료제 스핀라자의 고용량 요법이 국내 도입을 앞두면서, 치료 전략 변화 가능성이 제기되고 있다. 기존 저용량(12mg) 중심 치료에서 용량 최적화를 통한 효과 개선 접근이 본격화되는 흐름이다. 8일 관련 업계에 따르면 바이오젠코리아 스핀라자(누시네르센) 고용량 제제(50mg/5mL, 28mg/5mL)의 국내 허가가 임박했다. 이달 내 승인 여부가 결정될 것으로 예상된다….","척수성 근위축증(SMA) 치료제 스핀라자의 고용량 요법이 국내 도입을 앞두면서, 치료 전략 변화 가능성이 제기되고 있다. 기존 저용량(12mg) 중심 치료에서 용량 최적화를 통한 효과 개선 접근이 본격화되는 흐름이다. 8일 관련 업계에 따르면 바이오젠코리아 스핀라자(누시네르센) 고용량 제제(50mg/5mL, 28mg/5mL)의 국내 허가가 임박했다. 이달 내 승인 여부가 결정될 것으로 예상된다…",local,10,바이오젠,,,0.7694885986055793,,1.0,0.7694885986055793,10.631852114143433,14.0,8.386420190239054,True
2026-04-09,Client,2026-04-08 16:44:00,Naver News,https://www.kukinews.com/article/view/kuk202604080172,응급실서 밀리는 뇌졸중 환자들…신경계 배후진료·혁신약물 도입 요구↑,뇌경색은 뇌혈관이 막인 이후 1분마다 약 200만 개의 신경세포가 손상돼 치료까지 걸리는 시간이 환자의 생존과 장애 여부를 결정하는 대표적인 중증.,뇌경색은 뇌혈관이 막인 이후 1분마다 약 200만 개의 신경세포가 손상돼 치료까지 걸리는 시간이 환자의 생존과 장애 여부를 결정하는 대표적인 중증,local,10,베링거인겔하임,,,0.7653046095317193,,1.0,0.7653046095317193,10.61427936003322,14.0,8.357132266722035,True
